ID,Code,Location,Prefecture,Site,Receiver,Antenna
電子基準点,,,,,,
局番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
950396,EL05134718302,邑久,岡山県,東備西播開発有料道路（岡山ブルーライン）P.A.「一本松展望園」,TOPCON NETG5,TRM159900.00    GSI
950397,EL05133562302,倉敷１,岡山県,倉敷市立下津井西小学校,TOPCON NETG5,TRM159900.00    GSI
950398,EL05233303902,西城,広島県,庄原市立西城中学校,TOPCON NETG5,TRM59800.80     GSI
950399,EL05232027201,芸北,広島県,北広島町芸北支所,TOPCON NETG5,TRM59800.80     GSI
950400,EL05232041303,千代田,広島県,北広島町立千代田中学校,TOPCON NETG5,TRM59800.80     GSI
950401,EL05233000802,上下,広島県,府中市山村集落振興施設　矢野文化会館,TOPCON NETG5,TRM59800.80     GSI
950402,EL05132668503,豊栄,広島県,東広島市立豊栄中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950403,EL05132634701,広島１,広島県,可部運動公園　野球場,TRIMBLE ALLOY,TPSCR.G5        GSI
950404,EL05132629103,戸河内,広島県,道の駅来夢とごうち,5700,TRM29659.00
950405,EL05133405002,三原,広島県,三原運動公園,TRIMBLE NETR9,TPSCR.G5        GSI
950406,EL05132424702,広島２,広島県,学校法人鶴学園　広島工業大学,5700,TRM29659.00
950407,EL05131532301,萩１,山口県,山口福祉文化大学,TRIMBLE ALLOY,TRM159900.00    GSI
950408,EL05130375501,豊北,山口県,下関市豊北総合運動公園,TOPCON NETG5,TRM59800.80     GSI
950409,EL05131344501,阿東,山口県,阿東町立篠目小学校跡地,TRIMBLE NETR9,TPSCR.G5        GSI
950410,EL05131371602,錦,山口県,岩国市立錦中学校,TRIMBLE NETR9,TPSCR.G5        GSI
950411,EL05131222702,美東,山口県,美祢市立綾木小学校,TOPCON NETG5,TRM59800.80     GSI
950412,EL05131046201,防府,山口県,防府市立玉祖小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950413,EL05031727202,宇部,山口県,宇部市立川上中学校,TOPCON NETG5,TRM59800.80     GSI
950414,EL05032707801,柳井,山口県,柳井市立柳井中学校,TOPCON NETG5,TRM59800.80     GSI
950415,EL05134121802,徳島吉野,徳島県,阿波市立柿原小学校,TRIMBLE NETR9,TRM159900.00    GSI
950416,EL05134047402,徳島,徳島県,徳島市立富田中学校,TOPCON NETG5,TRM159900.00    GSI
950417,EL05134006301,美馬,徳島県,美馬市立美馬中学校,TOPCON NETG3,TPSCR.G5        GSI
950418,EL05134014802,山川,徳島県,山川町総合スポーツ運動場,TOPCON NETG5,TPSCR.G5        GSI
950419,EL05033752401,山城,徳島県,三好市塩塚高原ふれあい広場,TOPCON NETG5,TPSCR.G5        GSI
950420,EL05034635102,上勝,徳島県,上勝町旭農村公園,TRIMBLE NETR9,TPSCR.G5        GSI
